Symbol,Name,ISIN,exchange
KEDIADI-B,Kedia Distilleries Ltd,NA          ,BSE
WHIRLPOOL,Whirlpool of India Ltd,INE716A01013,BSE
KGDENIM,KG Denim Ltd,INE104A01012,BSE
KINETICENG,Kinetic Engineering Ltd,INE266B01017,BSE
KIRLOSBROS,Kirloskar Brothers Ltd-$,INE732A01036,BSE
KIRPNDM,Kirloskar Pneumatic Company Ltd,INE328A01017,BSE
KIRLOSIND,Kirloskar Industries Ltd,INE250A01039,BSE
KIRLFER,Kirloskar Ferrous Industries Ltd,INE884B01025,BSE
ENVAIREL,Envair Electrodyne Ltd,INE601C01013,BSE
KOTAKBANK,Kotak Mahindra Bank Ltd,INE237A01028,BSE
KRIFILIND,Krishna Filament Industries Ltd,INE073A01019,BSE
KSB,KSB Ltd,INE999A01023,BSE
LGBBROSLTD,LG Balakrishnan & Bros Ltd,INE337A01034,BSE
TRENT,Trent Ltd,INE849A01020,BSE
LMW,LMW Ltd,INE269B01029,BSE
LICHSGFIN,LIC Housing Finance Ltd,INE115A01026,BSE
UTTAMVALUE,Uttam Value Steels Ltd,INE292A01023,BSE
LML,LML Ltd,INE862A01015,BSE
LOKHSG,Lok Housing & Constructions Ltd-$,INE367C01011,BSE
LUPIN,Lupin Ltd,INE326A01037,BSE
LUPINDM,Lupin Laboratories Ltd,INE327A01019,BSE
LYKALABS,Lyka Labs Ltd,INE933A01014,BSE
RAMCOCEM,The Ramco Cements Ltd,INE331A01037,BSE
MDRPTRO,Madras Petrochem Ltd,NA          ,BSE
HYBRIDFIN,Hybrid Financial Services Ltd,INE965B01022,BSE
MAFATIND,Mafatlal Industries Ltd-$,INE270B01035,BSE
MAHSEAMLES,Maharashtra Seamless Ltd,INE271B01025,BSE
MAHSCOOTER,Maharashtra Scooters Ltd,INE288A01013,BSE
MAJESAUT,Majestic Auto Ltd-$,INE201B01022,BSE
MANALIPETC,Manali Petrochemicals Ltd,INE201A01024,BSE
MARDIACH,Mardia Chemicals Ltd,INE273B01013,BSE
BARODARY,Baroda Rayon Corporation Ltd,INE461A01024,BSE
MFSL,Max Financial Services Ltd,INE180A01020,BSE
MAXWORC-B,Maxworth Orchards (India) Ltd,NA          ,BSE
MCDWLDM,MCDWLDM,INE887A01012,BSE
MESPHAR-B,Mesco Pharmaceuticals Ltd,INE839X01015,BSE
MTZIND,MTZ Industries Ltd,INE865A01018,BSE
MICROPL-B,Micro Plantae Ltd,NA          ,BSE
MIDINDIA,Mid India Industries Ltd,INE401C01018,BSE
MIDESTI-B,Mideast India Ltd,INE844X01015,BSE
MIRCELECTR,Mirc Electronics Ltd,INE831A01028,BSE
CENTENKA,Century Enka Ltd,INE485A01015,BSE
MDRNSYN-B,Modern Syntex India Ltd,NA          ,BSE
MODTHREAD,Modern Thread India Ltd,INE794W01014,BSE
MDTERYT-B,Modern Terry Towels Ltd,NA          ,BSE
LORDSCHLO,Lords Chloro Alkali Ltd,INE846D01012,BSE
SPICEJET,Spicejet Ltd,INE285B01017,BSE
MONTA,Montari Industries Ltd,INE407C01015,BSE
MOREPENLAB,Morepen Laboratories Ltd,INE083A01026,BSE
MSGF,Morgan Stanley Mutual Fund,INF063A01019,BSE
MRF,MRF Ltd,INE883A01011,BSE
HEIDELBERG,HeidelbergCement India Ltd,INE578A01017,BSE
MYSRKIR-B,Mysore Kirloskar Ltd,NA          ,BSE
NCC,NCC Ltd,INE868B01028,BSE
VEDL,Vedanta Ltd,INE205A01025,BSE
NAHARSPING,Nahar Spinning Mills Ltd,INE290A01027,BSE
NATAL,NATAL,INE139A01018,BSE
NAPEROL,Naperol Investments Ltd,INE585A01020,BSE
GRASIM,Grasim Industries Ltd,INE047A01021,BSE
NEPCMICON,NEPC India Ltd,INE588A01016,BSE
PEL,Piramal Enterprises Ltd,INE140A01024,BSE
ABIRLANUVO,Aditya Birla Nuvo Ltd,INE069A01017,BSE
NIITLTD,NIIT Ltd,INE161A01038,BSE
JSWISPAT,JSW ISPAT Steel Ltd,INE136A01022,BSE
JAYKAY,Jaykay Enterprises Ltd,INE903A01025,BSE
NIRLON,Nirlon Ltd,INE910A01012,BSE
NIRMA,Nirma Ltd,INE091A01029,BSE
NOVAEL-,Nova Electro Magnetics Ltd,NA          ,BSE
NOVOPANIND,Novopan Industries Ltd,INE460B01016,BSE
NUCHEM,Nuchem Ltd,INE946A01016,BSE
ONGC,Oil and Natural Gas Corporation Ltd,INE213A01029,BSE
OILCOUNTUB,Oil Country Tubular Ltd,INE591A01010,BSE
ORIENTHOT,Oriental Hotels Ltd,INE750A01020,BSE
ORIENTBANK,Oriental Bank of Commerce,INE141A01014,BSE
OSWALAGRO,Oswal Agro Mills Ltd,INE142A01012,BSE
OSSWM,Oswal Spinning & Weaving Mills Ltd,INE716C01027,BSE
INDSUCR,Indian Sucrose Ltd,INE557C01017,BSE
PADMINIT,Padmini Technologies Ltd,INE114B01019,BSE
PANCM,Panyam Cements & Mineral Industries Ltd,INE167E01037,BSE
PAREKHPLAT,Parekh Platinum Ltd,INE598A01015,BSE
